site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Lyndhurst Hotel, Lower Polsham Road, Paignton",,,2017-12-13,,0.03,12,6,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,PNPH09,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Crossways Shopping Centre, Paignton",,,2017-12-13,,0.89,150,70,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,PNPH11,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Lighthouse, Esplanade Road, Paignton",,,2017-12-13,,0.17,20,10,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,PNPH12,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Victoria Square/Multi Storey Car Park, Paignton",,,2017-12-13,,1.33,182,60,,local-authority-eng:TOB,owned by a public authority,,,not permissioned,,PNPH13,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Corner of Hyde Road and Torbay Road, Paignton",,,2017-12-13,,0.27,50,25,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,PNPH14,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"4 Palace Avenue, Paignton",,,2017-12-13,,0.04,6,3,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,PNPH15,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Station Lane/Great Western Car Park, Paignton",,,2017-12-13,,2.94,100,50,,local-authority-eng:TOB,owned by a public authority,,,not permissioned,,PNPH16,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Angleside House, Cleveland Road, Paignton",,,2017-12-13,,0.24,22,11,,local-authority-eng:TOB,not owned by a public authority,,,pending decision,,PNPH19,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Paignton Harbour Car Park, Cliff Road, Paignton",,,2017-12-13,,0.36,50,25,,local-authority-eng:TOB,owned by a public authority,,,not permissioned,,PNPH20,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"20 Roundham Road, Paignton",,,2017-12-13,,0.04,10,5,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,PNPH21,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Council Depot, Borough Road, Paignton",,,2017-12-13,,2.98,40,20,,local-authority-eng:TOB,owned by a public authority,,,not permissioned,,PNPH23,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Alan Kerr Garage, Brixham Road, Paignton",,,2017-12-13,,0.37,10,5,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,PNPH26,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Barton Hall Activity Centre, Kingskerswell Road, Torquay",,,2017-12-20,,1.47,45,23,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH01,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Torquay Holiday Park, Kingskerswell Road, Torquay",,,2017-12-20,,6.34,150,75,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH02,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Site 2, Higher Cadewell Lane, Torquay",,,2017-12-20,,0.29,12,6,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH07,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Site 1, Higher Cadewell Lane, Torquay",,,2017-12-20,,0.45,18,9,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH08,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Shiphay Manor, Torquay Girls Grammar, Shiphay Lane, Torquay",,,2017-12-20,,1.39,20,10,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH10,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Quintaville, Reddenhill Road, Torquay",,,2017-12-20,,0.1,10,5,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH11,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Torre Station, Torquay",,,2017-12-20,,0.21,9,5,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH12,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"16/18 Thurlow Road, Torquay",,,2017-12-20,,0.09,6,3,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH13,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Palace Hotel (Tennis Courts), Babbacombe Road, Torquay",,,2017-12-20,,0.71,137,35,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH14,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Richwood Hotel, Newton Road, Torquay",,,2017-12-20,,0.09,8,4,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH15,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Transport Yard, Berachah Road, Torquay",,,2017-12-20,,0.18,8,4,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH16,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"300-302 Union Street, Torquay",,,2017-12-20,,0.1,6,33,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH17,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Sherwell Valley Garage, Sherwell Lane, Torquay",,,2017-12-20,,0.27,20,10,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH18,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Tor House and Gospel Hall (Former B&Q), Laburnum Row/Tor Hill Road, Torquay",yes,,2017-12-20,,0.16,19,19,,local-authority-eng:TOB,not owned by a public authority,2017-03-15,,permissioned,full planning permission,TNPH19,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Zion Methodist Church, Zion Road, Torquay",yes,,2017-12-20,,0.04,7,7,,local-authority-eng:TOB,not owned by a public authority,2017-03-21,,permissioned,full planning permission,TNPH20,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Garage Premises, Laburnum Street, Torquay",yes,,2017-12-20,,0.05,6,6,,local-authority-eng:TOB,not owned by a public authority,2017-05-24,,permissioned,full planning permission,TNPH22,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Barclay Court Hotel, 29 Castle Road, Torquay",,,2017-12-20,,0.11,8,4,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH23,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Land R/O Market Street, Torquay",,,2017-12-20,,0.24,59,30,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH24,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Ansteys Lea Hotel, Babbacombe Road, Torquay",,,2017-12-20,,0.23,9,5,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH25,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Municipal Chambers, Union Street, Torquay",,,2017-12-20,,0.02,12,6,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH26,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Lower Union Lane/Union Street, Torquay",,,2017-12-20,,0.61,130,65,,local-authority-eng:TOB,owned by a public authority,,,not permissioned,,TNPH27,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Site opposite Market, Market St (Blockbuster site), Torquay",,,2017-12-20,,0.25,30,15,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH28,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Roebuck House, Abbey Road, Torquay",yes,,2017-12-20,,0.06,71,71,P/2016/0531 Prior approval not required,local-authority-eng:TOB,not owned by a public authority,2016-08-17,,permissioned,other,TNPH30,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Lower Union Lane Office Block, Torquay",,,2017-12-20,,0.23,30,15,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH31,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"22-28 Union Street, Torquay",,,2017-12-20,,0.06,13,7,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH32,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"3-9 Pimlico, Torquay",,,2017-12-20,,0.08,10,5,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH33,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Pimlico, Torquay",,,2017-12-20,,0.35,50,25,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH34,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"39 Abbey Road, Torquay",,,2017-12-20,,0.02,12,6,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH35,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Shedden Hall Hotel, Shedden Hill, Torquay",yes,,2017-12-20,,0.25,11,11,P/2016/0305,local-authority-eng:TOB,not owned by a public authority,2017-05-31,,permissioned,full planning permission,TNPH36,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Adjacent Abbey Hall, Rock Road, Torquay",,,2017-12-20,,0.09,30,15,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH37,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"8-9 Braddons Hill Road West, Torquay",,,2017-12-20,,0.03,8,4,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH39,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"40-44 Swan Street, Torquay",,,2017-12-20,,0.05,10,5,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH41,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Fleet Walk Shopping Centre, Torquay",,,2017-12-20,,0.81,25,13,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH43,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Golden Palms, Cary Parade, Torquay",,,2017-12-20,,0.18,12,6,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH44,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"The Terrace Car Park, Torquay",,,2017-12-20,,1.11,35,18,,local-authority-eng:TOB,owned by a public authority,,,not permissioned,,TNPH45,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Ingoldsby House, Chelston Road, Torquay",,,2017-12-20,,0.15,7,4,,local-authority-eng:TOB,not owned by a public authority,,,not permissioned,,TNPH47,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"La Rosaire, Livermead Hill, Torquay",yes,,2017-12-20,,0.11,7,7,P/2014/1182,local-authority-eng:TOB,not owned by a public authority,2015-10-01,,permissioned,full planning permission,TNPH49,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"53 Fleet Street, Torquay",yes,,2017-12-20,,0.03,9,9,P/2015/0587,local-authority-eng:TOB,not owned by a public authority,2015-12-18,,permissioned,full planning permission,C1222,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Torre House, Falkland Road, Torquay",yes,,2017-12-20,,0.08,8,8,P/2016/1356,local-authority-eng:TOB,not owned by a public authority,2015-02-15,,permissioned,full planning permission,C1261,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"42-45 Fleet Street, Torquay",yes,,2017-12-20,,0.03,9,9,P/2016/1211,local-authority-eng:TOB,not owned by a public authority,2017-02-03,,permissioned,full planning permission,C1265,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Former Social Club, 11 Tor Church Road, Torquay",yes,,2017-12-20,,0.23,9,9,P/2016/0348,local-authority-eng:TOB,not owned by a public authority,2017-01-04,,permissioned,full planning permission,C453,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"59 Rock Road, Torquay",yes,,2017-12-20,,0.07,10,10,P/2014/0634,local-authority-eng:TOB,not owned by a public authority,2015-01-07,,permissioned,full planning permission,R792,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"Former Rossiters, Palace avenue, Paignton",yes,,2017-12-20,,0.15,32,32,P/2016/0585,local-authority-eng:TOB,not owned by a public authority,2017-05-12,,permissioned,full planning permission,,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"1-2 Kents Road, Torquay",yes,,2017-12-20,,0.1,12,12,P/2016/1316,local-authority-eng:TOB,not owned by a public authority,2017-04-27,,permissioned,full planning permission,,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"R/0 16-26 Castor Road, Brixham",yes,,2017-12-20,,0.27,10,10,P/2016/0947 allowed at appeal,local-authority-eng:TOB,not owned by a public authority,2017-08-03,,permissioned,full planning permission,,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
"R/O 107 Teignmouth Road, Torquay",yes,,2017-12-20,,0.16,12,12,P/2016/0599,local-authority-eng:TOB,not owned by a public authority,2017-05-31,,permissioned,full planning permission,,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24
